pid,level,season,actual,w,had_history,changed_level,lgavg,repeat,marcel,nwbb_v1,reliability,side
4625,D1,2023,0.472682,306.0,True,False,0.35250525354441364,0.39307071739305366,0.3719694821794935,0.3759384875116252,0.604,bat
5527,D1,2023,0.436403,304.0,True,False,0.35250525354441364,0.42602571739305367,0.3908408798890814,0.3962528932930004,0.7106954997077732,bat
5509,D1,2023,0.366609,297.0,True,True,0.35250525354441364,0.42180471739305364,0.3979591019113163,0.39021152470420795,0.5389773679798827,bat
5505,D1,2023,0.442822,288.0,True,False,0.35250525354441364,0.4790357173930537,0.3973402667235076,0.4103180846145025,0.47058823529411764,bat
4594,D1,2023,0.397,280.0,True,False,0.35250525354441364,0.3156277173930537,0.336054414569371,0.3312513124395345,0.5469107551487414,bat
5508,D1,2023,0.398978,276.0,True,False,0.35250525354441364,0.37004371739305364,0.370914753066694,0.37265749964126915,0.7363515312916112,bat
4684,D1,2023,0.391111,270.0,True,False,0.35250525354441364,0.38903171739305364,0.3619537349427662,0.362541479719432,0.6995447647951442,bat
5528,D1,2023,0.378604,269.0,False,False,0.35250525354441364,0.3510320469990867,0.3513574956478251,0.33502562312312056,0.40433212996389895,bat
5489,D1,2023,0.415909,264.0,True,False,0.35250525354441364,0.27892471739305363,0.32304109132818604,0.31415898285486005,0.5062344139650873,bat
3702,D1,2023,0.411061,264.0,True,False,0.35250525354441364,0.37050871739305363,0.35985546519132855,0.3613415271443605,0.5510204081632653,bat
4626,D1,2023,0.405255,263.0,True,False,0.35250525354441364,0.24258271739305365,0.3276383149593315,0.31718323452108377,0.33911882510013347,bat
4706,NAIA,2023,0.486743,261.0,False,False,0.3615986850856476,0.3706840136098968,0.3642135332453988,0.366769258172836,0.13546255506607932,bat
6632,NAIA,2023,0.402101,258.0,True,False,0.3615986850856476,0.2789515580266851,0.3642135332453988,0.33234391148261905,0.36897106109324757,bat
4630,D1,2023,0.41668,256.0,True,False,0.35250525354441364,0.39138471739305364,0.3569967923490635,0.359281946226969,0.20481927710843373,bat
5488,D1,2023,0.44207,256.0,True,False,0.35250525354441364,0.36605571739305365,0.3578831752451135,0.3577940711575796,0.6892655367231638,bat
5507,D1,2023,0.442422,256.0,False,False,0.35250525354441364,0.3510320469990867,0.3513574956478251,0.3500810632526357,0.0,bat
3725,D1,2023,0.337412,255.0,True,False,0.35250525354441364,0.35438271739305366,0.3528461904085225,0.35247316111322,0.5590200445434298,bat
5506,D1,2023,0.405418,254.0,True,False,0.35250525354441364,0.36887171739305363,0.35962257951002047,0.3603892736508554,0.5778251599147122,bat
6017,JUCO,2023,0.37184,254.0,True,False,0.3235109207029769,0.38216390984059717,0.34972518322213003,0.3552811218096902,0.5576923076923077,bat
4701,NAIA,2023,0.437371,252.0,True,False,0.3615986850856476,0.4141945580266851,0.38026306299097734,0.3846845407119598,0.5549886621315193,bat
5558,D1,2023,0.30824,251.0,True,True,0.35250525354441364,0.29944971739305365,0.34572870190274835,0.3398548219090418,0.6832405452102132,bat
5544,D1,2023,0.425645,249.0,True,False,0.35250525354441364,0.43582271739305367,0.3896776441589547,0.39310395542349674,0.6460493385770468,bat
3686,NAIA,2023,0.431532,248.0,True,False,0.3615986850856476,0.41645455802668513,0.3847153458488906,0.3923928711533586,0.6005089058524173,bat
7356,JUCO,2023,0.348898,248.0,True,False,0.3235109207029769,0.29240990984059717,0.3108067747826416,0.3081789958329611,0.4738562091503268,bat
3812,NAIA,2023,0.478548,248.0,True,False,0.3615986850856476,0.4060295580266851,0.38488760490338636,0.3864669649392549,0.4431044267877412,bat
4702,NAIA,2023,0.386532,248.0,True,False,0.3615986850856476,0.3839425580266851,0.3681313069863874,0.37070489468367246,0.43727598566308246,bat
5490,D1,2023,0.385484,248.0,True,False,0.35250525354441364,0.3721647173930536,0.3603823430319158,0.3615279263827011,0.5416666666666666,bat
3072,JUCO,2023,0.336478,247.0,False,False,0.3235109207029769,0.32595783851009563,0.3236323263586391,0.32319437028744896,0.0,bat
5134,JUCO,2023,0.305772,246.0,False,False,0.3235109207029769,0.32595783851009563,0.3236323263586391,0.32319437028744896,0.0,bat
5510,D1,2023,0.364256,246.0,True,False,0.35250525354441364,0.37660771739305365,0.350785526567796,0.34939995626344683,0.67412771560237,bat
5543,D1,2023,0.434215,244.0,False,False,0.35250525354441364,0.3510320469990867,0.3513574956478251,0.3634575903393441,0.3542074363992172,bat
4787,NAIA,2023,0.472645,243.0,False,False,0.3615986850856476,0.3706840136098968,0.3642135332453988,0.36551848114865954,0.35016556291390727,bat
3556,D1,2023,0.348091,243.0,False,False,0.35250525354441364,0.3510320469990867,0.3513574956478251,0.3351865035043078,0.32926829268292684,bat
7805,NAIA,2023,0.442521,242.0,True,True,0.3615986850856476,0.4571795580266851,0.3642135332453988,0.32288564154172067,0.2622180451127819,bat
5542,D1,2023,0.474813,241.0,True,False,0.35250525354441364,0.33686771739305366,0.3508266988266499,0.34944452962941114,0.6597938144329897,bat
4699,NAIA,2023,0.452458,241.0,True,True,0.3615986850856476,0.3725175580266851,0.36465411315426516,0.3625038449434982,0.26013195098963243,bat
6026,JUCO,2023,0.372667,241.0,False,False,0.3235109207029769,0.32595783851009563,0.3236323263586391,0.32319437028744896,0.0,bat
5557,D1,2023,0.470167,240.0,False,False,0.35250525354441364,0.3510320469990867,0.3513574956478251,0.3500810632526357,0.0,bat
6435,JUCO,2023,0.390549,238.0,False,False,0.3235109207029769,0.32595783851009563,0.3236323263586391,0.32319437028744896,0.0,bat
5492,D1,2023,0.368945,237.0,True,False,0.35250525354441364,0.35398071739305365,0.3514594062021842,0.3502081983391615,0.5772843723313407,bat
5581,D1,2023,0.44411,237.0,True,False,0.35250525354441364,0.33553371739305365,0.347228825037433,0.3444182120504313,0.36538461538461536,bat
4685,D1,2023,0.405776,236.0,True,False,0.35250525354441364,0.35469371739305366,0.3524755959078918,0.35158496359301494,0.4107142857142857,bat
7374,D1,2023,0.362383,235.0,True,False,0.35250525354441364,0.3646707173930536,0.35290001980808827,0.34594193949342283,0.5139911634756996,bat
6016,JUCO,2023,0.314735,234.0,True,False,0.3235109207029769,0.3436179098405972,0.3342645666041917,0.3364659020854725,0.5948666331152491,bat
6070,JUCO,2023,0.358053,234.0,True,False,0.3235109207029769,0.3263419098405972,0.32376241786468973,0.32160680475667563,0.4852941176470588,bat
5559,D1,2023,0.353777,234.0,True,False,0.35250525354441364,0.3373297173930537,0.34495928545195853,0.3492092444723531,0.6386861313868614,bat
5640,NAIA,2023,0.493462,234.0,True,False,0.3615986850856476,0.5359075580266851,0.4339518113253212,0.4484236616162549,0.7682998819362455,bat
3855,NAIA,2023,0.421379,234.0,False,False,0.3615986850856476,0.3706840136098968,0.3642135332453988,0.3649072516053636,0.0,bat
5867,JUCO,2023,0.31652,233.0,True,False,0.3235109207029769,0.3449919098405972,0.3320561248862,0.3341744346721097,0.5360230547550432,bat
3939,JUCO,2023,0.323147,232.0,False,False,0.3235109207029769,0.32595783851009563,0.3236323263586391,0.32319437028744896,0.0,bat
6136,JUCO,2023,0.312643,231.0,True,False,0.3235109207029769,0.2498909098405972,0.2960867034668544,0.2887831406512473,0.4523809523809524,bat
5895,JUCO,2023,0.275526,231.0,True,False,0.3235109207029769,0.3690769098405972,0.34157720438154,0.3459706812209787,0.5091463414634146,bat
5582,D1,2023,0.388,231.0,True,False,0.35250525354441364,0.37622871739305364,0.35535967464557955,0.3604813403098447,0.6618852459016393,bat
5889,JUCO,2023,0.39039,231.0,True,False,0.3235109207029769,0.4153309098405972,0.36234181354866424,0.37104003158793064,0.5264705882352941,bat
3288,JUCO,2023,0.388646,229.0,False,False,0.3235109207029769,0.32595783851009563,0.3236323263586391,0.32319437028744896,0.0,bat
3853,NAIA,2023,0.330714,229.0,True,False,0.3615986850856476,0.4103825580266851,0.382719557615172,0.38944114523520357,0.6180048661800487,bat
7402,D2,2023,0.348553,228.0,True,True,0.3509219938954643,0.3299893859420637,0.34060806516067643,0.34023471855906395,0.41754916792738284,bat
