name,team,level,class_last,reliability,player_id,canonical_id,season,last_season,last_n,proj_woba,proj_woba_p10,proj_woba_p90,periph_adj,proj_k_pct,proj_bb_pct,proj_iso,proj_babip,proj_hr_pa,proj_avg,proj_obp
Ty Cowan,UW,D1,Sr,0.545,3487,3487,2027,2026,236,0.3307,0.262,0.3994,0.0,0.1441,0.1229,0.1065,0.3089,0.0126,0.2558,0.3653
Reese Vassar,Spokane,JUCO,Fr,0.599,81,81,2027,2025,231,0.3306,0.2625,0.3987,0.0,0.1189,0.1271,0.0779,0.3025,0.0081,0.2605,0.3704
Hunter Allen,Mt. Hood,JUCO,So,0.581,1039,1039,2027,2026,151,0.3304,0.2621,0.3987,0.0002,0.1664,0.1105,0.0967,0.3024,0.0089,0.2477,0.354
Kobin Mullins,Clark,JUCO,So,0.632,76,76,2027,2026,178,0.3304,0.2626,0.3982,0.0013,0.082,0.1124,0.0606,0.3012,0.005,0.2668,0.3637
Ethan Sugimoto,Bellevue,JUCO,Fr,0.458,638,638,2027,2026,157,0.3301,0.2605,0.3997,0.0002,0.1471,0.0893,0.0935,0.3114,0.0104,0.2679,0.3598
Cade Wynn,Mt. Hood,JUCO,So,0.655,86,86,2027,2026,189,0.3301,0.2626,0.3976,0.0003,0.1617,0.1211,0.0559,0.3194,0.0049,0.2629,0.3711
Mitchell Rowe,Centralia,JUCO,So,0.599,735,735,2027,2026,180,0.33,0.2619,0.3981,0.0005,0.2077,0.1019,0.1341,0.2983,0.0192,0.2442,0.3435
Roman Basurto,Big Bend,JUCO,Fr,0.599,92,92,2027,2025,210,0.33,0.2618,0.3981,0.0,0.1386,0.1191,0.0927,0.3065,0.0081,0.2628,0.3624
Evan Gant,Blue Mountain,JUCO,Fr,0.561,34,34,2027,2025,176,0.3299,0.2614,0.3985,0.0,0.1242,0.1113,0.0802,0.3131,0.0093,0.2749,0.3594
Aaron Kaufman,Walla Walla,JUCO,So,0.499,1291,1291,2027,2026,185,0.3298,0.2606,0.3989,-0.0004,0.1629,0.1116,0.0972,0.3115,0.0076,0.2579,0.3596
